23,17,dublin,GOLDEN LANE,Golden Lane,False,False,20,8,12,OPEN,1628579019000,53.340803,-6.267732,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:03:39,2021-08-10 08:03:39+01:00,0.6
24,45,dublin,DEVERELL PLACE,Deverell Place,False,False,30,20,9,OPEN,1628579445000,53.351464,-6.255265,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:10:45,2021-08-10 08:10:45+01:00,0.3
25,114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),False,False,40,28,12,OPEN,1628579583000,53.333653,-6.248345,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:13:03,2021-08-10 08:13:03+01:00,0.3
26,72,dublin,JOHN STREET WEST,John Street West,False,False,31,15,16,OPEN,1628579101000,53.343105,-6.277167,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:05:01,2021-08-10 08:05:01+01:00,0.5161290322580645
27,63,dublin,FENIAN STREET,Fenian Street,False,False,35,6,29,OPEN,1628579338000,53.341428,-6.24672,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:08:58,2021-08-10 08:08:58+01:00,0.8285714285714286
28,113,dublin,MERRION SQUARE SOUTH,Merrion Square South,False,False,40,17,23,OPEN,1628579452000,53.338614,-6.248606,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:10:52,2021-08-10 08:10:52+01:00,0.575
29,91,dublin,SOUTH DOCK ROAD,South Dock Road,False,False,30,30,0,OPEN,1628579552000,53.341833,-6.231291,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:12:32,2021-08-10 08:12:32+01:00,0.0
30,99,dublin,CITY QUAY,City Quay,False,False,30,25,5,OPEN,1628579525000,53.346637,-6.246154,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:12:05,2021-08-10 08:12:05+01:00,0.16666666666666666
31,9,dublin,EXCHEQUER STREET,Exchequer Street,False,False,24,8,16,OPEN,1628579387000,53.343034,-6.263578,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:09:47,2021-08-10 08:09:47+01:00,0.6666666666666666
32,67,dublin,THE POINT,The Point,False,False,40,24,16,OPEN,1628579249000,53.346867,-6.230852,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:07:29,2021-08-10 08:07:29+01:00,0.4
33,116,dublin,BROADSTONE,Broadstone,False,False,30,24,6,OPEN,1628579027000,53.3547,-6.272314,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:03:47,2021-08-10 08:03:47+01:00,0.2
34,55,dublin,HATCH STREET,Hatch Street,False,False,36,35,1,OPEN,1628579522000,53.33403,-6.260714,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:12:02,2021-08-10 08:12:02+01:00,0.027777777777777776
35,62,dublin,LIME STREET,Lime Street,False,False,40,34,6,OPEN,1628579279000,53.346026,-6.243576,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:07:59,2021-08-10 08:07:59+01:00,0.15
36,5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,40,14,26,OPEN,1628579477000,53.330662,-6.260177,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:11:17,2021-08-10 08:11:17+01:00,0.65
37,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,40,16,24,OPEN,1628579049000,53.342113,-6.310015,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:04:09,2021-08-10 08:04:09+01:00,0.6
38,61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,25,24,1,OPEN,1628579590000,53.357043,-6.263232,2021-08-10 08:13:45.941291+01:00,2021-08-10 07:13:10,2021-08-10 08:13:10+01:00,0.04
